*2026년 이후 예측정보는 추산 자료이므로 근거 자료로 사용 할 수 없습니다.,,,,,,,,,,,,,,,,,,,,
*해양조사와 해양정보 활용에 관한 법률 제 48조 1항 및 같은법 시행령 제20조 시행규칙 제 38조에 근거하여 본자료의 복제 또는 유사제작물 발행하고자 하는 경우 국립해양조사원에 승인 신청 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
시간,예측 조위,,,,,,,,,,,,,,,,,,,
2024-09-01 00:00,382,,,,,,,,,,,,,,,,,,,
2024-09-01 01:00,532,,,,,,,,,,,,,,,,,,,
2024-09-01 02:00,671,,,,,,,,,,,,,,,,,,,
2024-09-01 03:00,773,,,,,,,,,,,,,,,,,,,
2024-09-01 04:00,814,,,,,,,,,,,,,,,,,,,
2024-09-01 05:00,782,,,,,,,,,,,,,,,,,,,
2024-09-01 06:00,688,,,,,,,,,,,,,,,,,,,
2024-09-01 07:00,559,,,,,,,,,,,,,,,,,,,
2024-09-01 08:00,419,,,,,,,,,,,,,,,,,,,
2024-09-01 09:00,295,,,,,,,,,,,,,,,,,,,
2024-09-01 10:00,221,,,,,,,,,,,,,,,,,,,
2024-09-01 11:00,226,,,,,,,,,,,,,,,,,,,
2024-09-01 12:00,311,,,,,,,,,,,,,,,,,,,
2024-09-01 13:00,443,,,,,,,,,,,,,,,,,,,
2024-09-01 14:00,582,,,,,,,,,,,,,,,,,,,
2024-09-01 15:00,695,,,,,,,,,,,,,,,,,,,
2024-09-01 16:00,751,,,,,,,,,,,,,,,,,,,
2024-09-01 17:00,727,,,,,,,,,,,,,,,,,,,
2024-09-01 18:00,628,,,,,,,,,,,,,,,,,,,
2024-09-01 19:00,486,,,,,,,,,,,,,,,,,,,
2024-09-01 20:00,338,,,,,,,,,,,,,,,,,,,
2024-09-01 21:00,211,,,,,,,,,,,,,,,,,,,
2024-09-01 22:00,136,,,,,,,,,,,,,,,,,,,
2024-09-01 23:00,147,,,,,,,,,,,,,,,,,,,
2024-09-02 00:00,252,,,,,,,,,,,,,,,,,,,
2024-09-02 01:00,414,,,,,,,,,,,,,,,,,,,
2024-09-02 02:00,586,,,,,,,,,,,,,,,,,,,
2024-09-02 03:00,734,,,,,,,,,,,,,,,,,,,
2024-09-02 04:00,830,,,,,,,,,,,,,,,,,,,
2024-09-02 05:00,846,,,,,,,,,,,,,,,,,,,
2024-09-02 06:00,776,,,,,,,,,,,,,,,,,,,
2024-09-02 07:00,647,,,,,,,,,,,,,,,,,,,
2024-09-02 08:00,494,,,,,,,,,,,,,,,,,,,
2024-09-02 09:00,342,,,,,,,,,,,,,,,,,,,
2024-09-02 10:00,218,,,,,,,,,,,,,,,,,,,
2024-09-02 11:00,167,,,,,,,,,,,,,,,,,,,
2024-09-02 12:00,216,,,,,,,,,,,,,,,,,,,
2024-09-02 13:00,346,,,,,,,,,,,,,,,,,,,
