Time,Predicted_Tide
2024-09-01 1:00,532
2024-09-01 2:00,671
2024-09-01 3:00,773
2024-09-01 4:00,814
2024-09-01 5:00,782
2024-09-01 6:00,688
2024-09-01 7:00,559
2024-09-01 8:00,419
2024-09-01 9:00,295
2024-09-01 10:00,221
2024-09-01 11:00,226
2024-09-01 12:00,311
2024-09-01 13:00,443
2024-09-01 14:00,582
2024-09-01 15:00,695
2024-09-01 16:00,751
2024-09-01 17:00,727
2024-09-01 18:00,628
2024-09-01 19:00,486
2024-09-01 20:00,338
2024-09-01 21:00,211
2024-09-01 22:00,136
2024-09-01 23:00,147
2024-09-02 0:00,252
2024-09-02 1:00,414
2024-09-02 2:00,586
2024-09-02 3:00,734
2024-09-02 4:00,830
2024-09-02 5:00,846
2024-09-02 6:00,776
2024-09-02 7:00,647
2024-09-02 8:00,494
2024-09-02 9:00,342
2024-09-02 10:00,218
2024-09-02 11:00,167
2024-09-02 12:00,216
2024-09-02 13:00,346
2024-09-02 14:00,509
2024-09-02 15:00,661
2024-09-02 16:00,770
2024-09-02 17:00,801
2024-09-02 18:00,736
2024-09-02 19:00,599
2024-09-02 20:00,433
2024-09-02 21:00,274
2024-09-02 22:00,148
2024-09-02 23:00,94
2024-09-03 0:00,147
2024-09-03 1:00,295
2024-09-03 2:00,485
2024-09-03 3:00,665
2024-09-03 4:00,802
2024-09-03 5:00,868
2024-09-03 6:00,839
2024-09-03 7:00,726
2024-09-03 8:00,570
2024-09-03 9:00,406
2024-09-03 10:00,254
2024-09-03 11:00,153
2024-09-03 12:00,148
2024-09-03 13:00,252
2024-09-03 14:00,421
2024-09-03 15:00,598
2024-09-03 16:00,744
2024-09-03 17:00,826
2024-09-03 18:00,812
2024-09-03 19:00,702
2024-09-03 20:00,536
2024-09-03 21:00,362
2024-09-03 22:00,205
2024-09-03 23:00,97
2024-09-04 0:00,87
2024-09-04 1:00,195
2024-09-04 2:00,381
2024-09-04 3:00,580
2024-09-04 4:00,748
2024-09-04 5:00,856
2024-09-04 6:00,873
2024-09-04 7:00,790
2024-09-04 8:00,641
2024-09-04 9:00,471
2024-09-04 10:00,307
2024-09-04 11:00,173
2024-09-04 12:00,116
2024-09-04 13:00,175
2024-09-04 14:00,331
2024-09-04 15:00,520
2024-09-04 16:00,691
2024-09-04 17:00,811
2024-09-04 18:00,848
2024-09-04 19:00,780
2024-09-04 20:00,633
2024-09-04 21:00,455
2024-09-04 22:00,284
2024-09-04 23:00,143
2024-09-05 0:00,76
2024-09-05 1:00,126
2024-09-05 2:00,285
2024-09-05 3:00,490
2024-09-05 4:00,680
2024-09-05 5:00,818
2024-09-05 6:00,877
2024-09-05 7:00,835
2024-09-05 8:00,704
2024-09-05 9:00,534
2024-09-05 10:00,363
2024-09-05 11:00,212
2024-09-05 12:00,116
2024-09-05 13:00,125
2024-09-05 14:00,248
2024-09-05 15:00,436
2024-09-05 16:00,623
2024-09-05 17:00,770
2024-09-05 18:00,847
2024-09-05 19:00,828
2024-09-05 20:00,713
2024-09-05 21:00,546
2024-09-05 22:00,370
2024-09-05 23:00,212
2024-09-06 0:00,104
2024-09-06 1:00,96
2024-09-06 2:00,210
2024-09-06 3:00,402
2024-09-06 4:00,602
2024-09-06 5:00,764
2024-09-06 6:00,857
2024-09-06 7:00,857
2024-09-06 8:00,757
2024-09-06 9:00,596
2024-09-06 10:00,422
2024-09-06 11:00,260
2024-09-06 12:00,138
2024-09-06 13:00,101
2024-09-06 14:00,182
2024-09-06 15:00,353
2024-09-06 16:00,546
2024-09-06 17:00,712
2024-09-06 18:00,820
2024-09-06 19:00,845
2024-09-06 20:00,771
2024-09-06 21:00,626
2024-09-06 22:00,456
2024-09-06 23:00,294
2024-09-07 0:00,162
2024-09-07 1:00,105
2024-09-07 2:00,163
2024-09-07 3:00,323
2024-09-07 4:00,520
2024-09-07 5:00,695
2024-09-07 6:00,815
2024-09-07 7:00,853
2024-09-07 8:00,793
2024-09-07 9:00,653
2024-09-07 10:00,482
2024-09-07 11:00,316
2024-09-07 12:00,178
2024-09-07 13:00,105
2024-09-07 14:00,138
2024-09-07 15:00,278
2024-09-07 16:00,467
2024-09-07 17:00,643
2024-09-07 18:00,774
2024-09-07 19:00,834
2024-09-07 20:00,804
2024-09-07 21:00,692
2024-09-07 22:00,537
2024-09-07 23:00,378
2024-09-08 0:00,238
2024-09-08 1:00,147
2024-09-08 2:00,151
2024-09-08 3:00,264
2024-09-08 4:00,441
2024-09-08 5:00,618
2024-09-08 6:00,753
2024-09-08 7:00,822
2024-09-08 8:00,804
2024-09-08 9:00,697
2024-09-08 10:00,540
2024-09-08 11:00,377
2024-09-08 12:00,233
2024-09-08 13:00,134
2024-09-08 14:00,122
2024-09-08 15:00,218
2024-09-08 16:00,388
2024-09-08 17:00,567
2024-09-08 18:00,711
2024-09-08 19:00,799
2024-09-08 20:00,810
2024-09-08 21:00,738
2024-09-08 22:00,608
2024-09-08 23:00,461
2024-09-09 0:00,324
2024-09-09 1:00,217
2024-09-09 2:00,177
2024-09-09 3:00,236
2024-09-09 4:00,375
2024-09-09 5:00,538
2024-09-09 6:00,676
2024-09-09 7:00,765
2024-09-09 8:00,784
2024-09-09 9:00,720
2024-09-09 10:00,591
2024-09-09 11:00,439
2024-09-09 12:00,297
2024-09-09 13:00,186
2024-09-09 14:00,138
2024-09-09 15:00,184
2024-09-09 16:00,316
2024-09-09 17:00,483
2024-09-09 18:00,634
2024-09-09 19:00,741
2024-09-09 20:00,787
2024-09-09 21:00,759
2024-09-09 22:00,666
2024-09-09 23:00,539
2024-09-10 0:00,413
2024-09-10 1:00,304
2024-09-10 2:00,238
2024-09-10 3:00,245
2024-09-10 4:00,333
2024-09-10 5:00,465
2024-09-10 6:00,594
2024-09-10 7:00,689
2024-09-10 8:00,734
2024-09-10 9:00,712
2024-09-10 10:00,625
2024-09-10 11:00,498
2024-09-10 12:00,367
2024-09-10 13:00,256
2024-09-10 14:00,185
2024-09-10 15:00,183
2024-09-10 16:00,263
2024-09-10 17:00,398
2024-09-10 18:00,542
2024-09-10 19:00,659
2024-09-10 20:00,733
2024-09-10 21:00,748
2024-09-10 22:00,701
2024-09-10 23:00,609
2024-09-11 0:00,502
2024-09-11 1:00,401
2024-09-11 2:00,324
2024-09-11 3:00,294
2024-09-11 4:00,326
2024-09-11 5:00,411
2024-09-11 6:00,513
2024-09-11 7:00,602
2024-09-11 8:00,659
2024-09-11 9:00,672
2024-09-11 10:00,632
2024-09-11 11:00,547
2024-09-11 12:00,442
2024-09-11 13:00,339
2024-09-11 14:00,259
2024-09-11 15:00,222
2024-09-11 16:00,245
2024-09-11 17:00,327
2024-09-11 18:00,441
2024-09-11 19:00,554
2024-09-11 20:00,643
2024-09-11 21:00,696
2024-09-11 22:00,699
2024-09-11 23:00,657
2024-09-12 0:00,585
2024-09-12 1:00,503
2024-09-12 2:00,429
2024-09-12 3:00,376
2024-09-12 4:00,361
2024-09-12 5:00,389
2024-09-12 6:00,446
2024-09-12 7:00,511
2024-09-12 8:00,567
2024-09-12 9:00,601
2024-09-12 10:00,604
2024-09-12 11:00,571
2024-09-12 12:00,509
2024-09-12 13:00,433
2024-09-12 14:00,357
2024-09-12 15:00,299
2024-09-12 16:00,273
2024-09-12 17:00,292
2024-09-12 18:00,351
2024-09-12 19:00,433
2024-09-12 20:00,522
2024-09-12 21:00,598
2024-09-12 22:00,649
2024-09-12 23:00,665
2024-09-13 0:00,646
2024-09-13 1:00,602
2024-09-13 2:00,543
2024-09-13 3:00,484
2024-09-13 4:00,436
2024-09-13 5:00,411
2024-09-13 6:00,411
2024-09-13 7:00,431
2024-09-13 8:00,466
2024-09-13 9:00,505
2024-09-13 10:00,539
2024-09-13 11:00,557
2024-09-13 12:00,552
2024-09-13 13:00,523
2024-09-13 14:00,472
2024-09-13 15:00,410
2024-09-13 16:00,351
2024-09-13 17:00,311
2024-09-13 18:00,301
2024-09-13 19:00,326
2024-09-13 20:00,382
2024-09-13 21:00,461
2024-09-13 22:00,544
2024-09-13 23:00,616
2024-09-14 0:00,661
2024-09-14 1:00,675
2024-09-14 2:00,655
2024-09-14 3:00,607
2024-09-14 4:00,544
2024-09-14 5:00,479
2024-09-14 6:00,422
2024-09-14 7:00,384
